ocel_event_id;ocel_object_id;ocel_qualifier
ship_o28;i83;item
ship_o28;i84;item
pick_i89;i89;item
pick_i87;i87;item
pick_i85;i85;item
pick_i86;i86;item
pick_i88;i88;item
ship_o29;o29;order
ship_o29;i85;item
ship_o29;i86;item
ship_o29;i87;item
ship_o29;i88;item
ship_o29;i89;item
place_o30;o30;order
place_o30;i90;item
place_o30;i91;item
pick_i91;i91;item
pick_i90;i90;item
ship_o30;o30;order
ship_o30;i90;item
ship_o30;i91;item
place_o31;o31;order
place_o31;i92;item
place_o31;i93;item
place_o31;i94;item
place_o31;i95;item
pick_i95;i95;item
pick_i93;i93;item
pick_i92;i92;item
place_o32;o32;order
place_o32;i96;item
place_o32;i97;item
place_o32;i98;item
pick_i97;i97;item
pick_i98;i98;item
pick_i96;i96;item
ship_o32;o32;order
ship_o32;i96;item
ship_o32;i97;item
ship_o32;i98;item
pick_i94;i94;item
ship_o31;o31;order
ship_o31;i92;item
ship_o31;i93;item
ship_o31;i94;item
ship_o31;i95;item
place_o33;o33;order
place_o33;i99;item
place_o33;i100;item
place_o33;i101;item
place_o33;i102;item
place_o33;i103;item
pick_i103;i103;item
pick_i102;i102;item
pick_i99;i99;item
pick_i100;i100;item
pick_i101;i101;item
ship_o33;o33;order
ship_o33;i99;item
ship_o33;i100;item
ship_o33;i101;item
ship_o33;i102;item
ship_o33;i103;item
place_o34;o34;order
place_o34;i104;item
pick_i104;i104;item
ship_o34;o34;order
ship_o34;i104;item
place_o35;o35;order
place_o35;i105;item
place_o35;i106;item
place_o35;i107;item
pick_i107;i107;item
pick_i105;i105;item
place_o36;o36;order
place_o36;i108;item
place_o36;i109;item
place_o36;i110;item
place_o36;i111;item
place_o36;i112;item
pick_i106;i106;item
ship_o35;o35;order
ship_o35;i105;item
ship_o35;i106;item
ship_o35;i107;item
pick_i108;i108;item
pick_i109;i109;item
pick_i111;i111;item
pick_i110;i110;item
pick_i112;i112;item
ship_o36;o36;order
ship_o36;i108;item
ship_o36;i109;item
ship_o36;i110;item
ship_o36;i111;item
ship_o36;i112;item
place_o37;o37;order
place_o37;i113;item
pick_i113;i113;item
ship_o37;o37;order
ship_o37;i113;item
place_o38;o38;order
place_o38;i114;item
pick_i114;i114;item
ship_o38;o38;order
ship_o38;i114;item
place_o39;o39;order
place_o39;i115;item
place_o39;i116;item
place_o39;i117;item
place_o39;i118;item
place_o39;i119;item
pick_i116;i116;item
pick_i119;i119;item
pick_i117;i117;item
pick_i115;i115;item
pick_i118;i118;item
ship_o39;o39;order
ship_o39;i115;item
ship_o39;i116;item
ship_o39;i117;item
ship_o39;i118;item
ship_o39;i119;item
place_o40;o40;order
place_o40;i120;item
place_o40;i121;item
pick_i121;i121;item
pick_i120;i120;item
ship_o40;o40;order
ship_o40;i120;item
ship_o40;i121;item
place_o41;o41;order
place_o41;i122;item
place_o41;i123;item
place_o41;i124;item
pick_i122;i122;item
pick_i124;i124;item
pick_i123;i123;item
ship_o41;o41;order
ship_o41;i122;item
ship_o41;i123;item
ship_o41;i124;item
place_o42;o42;order
place_o42;i125;item
place_o42;i126;item
place_o42;i127;item
pick_i126;i126;item
pick_i127;i127;item
pick_i125;i125;item
ship_o42;o42;order
ship_o42;i125;item
ship_o42;i126;item
ship_o42;i127;item
place_o43;o43;order
place_o43;i128;item
place_o43;i129;item
place_o43;i130;item
pick_i129;i129;item
pick_i128;i128;item
pick_i130;i130;item
ship_o43;o43;order
ship_o43;i128;item
ship_o43;i129;item
ship_o43;i130;item
place_o44;o44;order
place_o44;i131;item
place_o44;i132;item
place_o44;i133;item
place_o44;i134;item
pick_i133;i133;item
pick_i134;i134;item
pick_i131;i131;item
pick_i132;i132;item
ship_o44;o44;order
ship_o44;i131;item
ship_o44;i132;item
ship_o44;i133;item
ship_o44;i134;item
place_o45;o45;order
place_o45;i135;item
place_o45;i136;item
pick_i135;i135;item
pick_i136;i136;item
ship_o45;o45;order
ship_o45;i135;item
ship_o45;i136;item
place_o46;o46;order
place_o46;i137;item
place_o46;i138;item
place_o46;i139;item
place_o46;i140;item
pick_i139;i139;item
pick_i140;i140;item
pick_i138;i138;item
pick_i137;i137;item
ship_o46;o46;order
ship_o46;i137;item
ship_o46;i138;item
ship_o46;i139;item
ship_o46;i140;item
place_o47;o47;order
place_o47;i141;item
place_o47;i142;item
place_o47;i143;item
pick_i143;i143;item
pick_i142;i142;item
pick_i141;i141;item
ship_o47;o47;order
ship_o47;i141;item
ship_o47;i142;item
ship_o47;i143;item
place_o48;o48;order
place_o48;i144;item
place_o48;i145;item
place_o48;i146;item
place_o48;i147;item
pick_i146;i146;item
pick_i145;i145;item
pick_i144;i144;item
pick_i147;i147;item
ship_o48;o48;order
ship_o48;i144;item
ship_o48;i145;item
ship_o48;i146;item
ship_o48;i147;item
place_o49;o49;order
place_o49;i148;item
pick_i148;i148;item
ship_o49;o49;order
ship_o49;i148;item
place_o50;o50;order
place_o50;i149;item
place_o50;i150;item
place_o50;i151;item
pick_i150;i150;item
pick_i151;i151;item
pick_i149;i149;item
ship_o50;o50;order
ship_o50;i149;item
ship_o50;i150;item
ship_o50;i151;item
place_o51;o51;order
place_o51;i152;item
pick_i152;i152;item
ship_o51;o51;order
ship_o51;i152;item
place_o52;o52;order
place_o52;i153;item
place_o52;i154;item
place_o52;i155;item
pick_i155;i155;item
pick_i154;i154;item
pick_i153;i153;item
ship_o52;o52;order
ship_o52;i153;item
ship_o52;i154;item
ship_o52;i155;item
place_o53;o53;order
place_o53;i156;item
place_o53;i157;item
place_o53;i158;item
place_o53;i159;item
place_o53;i160;item
place_o53;i161;item
pick_i158;i158;item
pick_i161;i161;item
pick_i159;i159;item
pick_i157;i157;item
place_o54;o54;order
place_o54;i162;item
place_o54;i163;item
pick_i156;i156;item
pick_i160;i160;item
pick_i162;i162;item
ship_o53;o53;order
ship_o53;i156;item
ship_o53;i157;item
ship_o53;i158;item
ship_o53;i159;item
ship_o53;i160;item
ship_o53;i161;item
pick_i163;i163;item
ship_o54;o54;order
ship_o54;i162;item
ship_o54;i163;item
place_o55;o55;order
place_o55;i164;item
place_o55;i165;item
place_o55;i166;item
place_o55;i167;item
pick_i166;i166;item
pick_i164;i164;item
pick_i167;i167;item
pick_i165;i165;item
ship_o55;o55;order
ship_o55;i164;item
ship_o55;i165;item
ship_o55;i166;item
ship_o55;i167;item
place_o56;o56;order
place_o56;i168;item
place_o56;i169;item
place_o56;i170;item
pick_i168;i168;item
pick_i169;i169;item
pick_i170;i170;item
place_o57;o57;order
place_o57;i171;item
place_o57;i172;item
place_o57;i173;item
place_o57;i174;item
place_o57;i175;item
place_o57;i176;item
place_o57;i177;item
ship_o56;o56;order
ship_o56;i168;item
ship_o56;i169;item
ship_o56;i170;item
pick_i172;i172;item
pick_i173;i173;item
pick_i177;i177;item
pick_i176;i176;item
pick_i174;i174;item
pick_i175;i175;item
pick_i171;i171;item
place_o58;o58;order
place_o58;i178;item
place_o58;i179;item
ship_o57;o57;order
ship_o57;i171;item
ship_o57;i172;item
ship_o57;i173;item
ship_o57;i174;item
ship_o57;i175;item
ship_o57;i176;item
ship_o57;i177;item
pick_i178;i178;item
pick_i179;i179;item
ship_o58;o58;order
ship_o58;i178;item
ship_o58;i179;item
place_o59;o59;order
place_o59;i180;item
place_o59;i181;item
place_o59;i182;item
pick_i180;i180;item
pick_i182;i182;item
pick_i181;i181;item
ship_o59;o59;order
ship_o59;i180;item
ship_o59;i181;item
ship_o59;i182;item
place_o60;o60;order
place_o60;i183;item
place_o60;i184;item
place_o60;i185;item
place_o60;i186;item
pick_i185;i185;item
pick_i183;i183;item
pick_i186;i186;item
pick_i184;i184;item
ship_o60;o60;order
ship_o60;i183;item
ship_o60;i184;item
ship_o60;i185;item
ship_o60;i186;item
place_o61;o61;order
place_o61;i187;item
place_o61;i188;item
place_o61;i189;item
pick_i189;i189;item
pick_i187;i187;item
pick_i188;i188;item
place_o62;o62;order
place_o62;i190;item
place_o62;i191;item
place_o62;i192;item
pick_i191;i191;item
ship_o61;o61;order
ship_o61;i187;item
ship_o61;i188;item
ship_o61;i189;item
pick_i192;i192;item
pick_i190;i190;item
place_o63;o63;order
place_o63;i193;item
place_o63;i194;item
place_o63;i195;item
ship_o62;o62;order
ship_o62;i190;item
ship_o62;i191;item
ship_o62;i192;item
pick_i193;i193;item
pick_i195;i195;item
pick_i194;i194;item
ship_o63;o63;order
ship_o63;i193;item
ship_o63;i194;item
ship_o63;i195;item
place_o64;o64;order
place_o64;i196;item
place_o64;i197;item
pick_i197;i197;item
pick_i196;i196;item
ship_o64;o64;order
ship_o64;i196;item
ship_o64;i197;item
place_o65;o65;order
place_o65;i198;item
place_o65;i199;item
pick_i199;i199;item
pick_i198;i198;item
place_o66;o66;order
place_o66;i200;item
place_o66;i201;item
place_o66;i202;item
place_o66;i203;item
place_o66;i204;item
place_o66;i205;item
ship_o65;o65;order
ship_o65;i198;item
ship_o65;i199;item
pick_i201;i201;item
pick_i202;i202;item
pick_i204;i204;item
pick_i200;i200;item
pick_i205;i205;item
pick_i203;i203;item
ship_o66;o66;order
ship_o66;i200;item
ship_o66;i201;item
ship_o66;i202;item
ship_o66;i203;item
ship_o66;i204;item
ship_o66;i205;item
place_o67;o67;order
place_o67;i206;item
place_o67;i207;item
place_o67;i208;item
place_o67;i209;item
pick_i206;i206;item
pick_i209;i209;item
pick_i207;i207;item
pick_i208;i208;item
ship_o67;o67;order
ship_o67;i206;item
ship_o67;i207;item
ship_o67;i208;item
ship_o67;i209;item
place_o68;o68;order
place_o68;i210;item
place_o68;i211;item
pick_i211;i211;item
pick_i210;i210;item
ship_o68;o68;order
ship_o68;i210;item
ship_o68;i211;item
place_o69;o69;order
place_o69;i212;item
place_o69;i213;item
place_o69;i214;item
place_o69;i215;item
pick_i212;i212;item
pick_i213;i213;item
pick_i215;i215;item
pick_i214;i214;item
ship_o69;o69;order
ship_o69;i212;item
ship_o69;i213;item
ship_o69;i214;item
ship_o69;i215;item
place_o70;o70;order
place_o70;i216;item
place_o70;i217;item
place_o70;i218;item
place_o70;i219;item
pick_i216;i216;item
pick_i217;i217;item
pick_i218;i218;item
pick_i219;i219;item
ship_o70;o70;order
ship_o70;i216;item
ship_o70;i217;item
ship_o70;i218;item
ship_o70;i219;item
place_o71;o71;order
place_o71;i220;item
place_o71;i221;item
place_o71;i222;item
place_o71;i223;item
place_o71;i224;item
pick_i221;i221;item
pick_i224;i224;item
pick_i222;i222;item
pick_i223;i223;item
pick_i220;i220;item
ship_o71;o71;order
ship_o71;i220;item
ship_o71;i221;item
ship_o71;i222;item
ship_o71;i223;item
ship_o71;i224;item
place_o72;o72;order
place_o72;i225;item
place_o72;i226;item
place_o72;i227;item
place_o72;i228;item
pick_i228;i228;item
pick_i227;i227;item
pick_i226;i226;item
pick_i225;i225;item
ship_o72;o72;order
ship_o72;i225;item
ship_o72;i226;item
ship_o72;i227;item
ship_o72;i228;item
place_o73;o73;order
place_o73;i229;item
place_o73;i230;item
pick_i230;i230;item
pick_i229;i229;item
ship_o73;o73;order
ship_o73;i229;item
ship_o73;i230;item
place_o74;o74;order
place_o74;i231;item
place_o74;i232;item
place_o74;i233;item
place_o74;i234;item
place_o74;i235;item
pick_i232;i232;item
pick_i231;i231;item
pick_i235;i235;item
pick_i233;i233;item
pick_i234;i234;item
place_o75;o75;order
place_o75;i236;item
place_o75;i237;item
place_o75;i238;item
place_o75;i239;item
ship_o74;o74;order
ship_o74;i231;item
ship_o74;i232;item
ship_o74;i233;item
ship_o74;i234;item
ship_o74;i235;item
pick_i237;i237;item
pick_i239;i239;item
pick_i236;i236;item
pick_i238;i238;item
ship_o75;o75;order
ship_o75;i236;item
ship_o75;i237;item
ship_o75;i238;item
ship_o75;i239;item
place_o76;o76;order
place_o76;i240;item
place_o76;i241;item
place_o76;i242;item
place_o76;i243;item
place_o76;i244;item
pick_i242;i242;item
pick_i241;i241;item
pick_i243;i243;item
pick_i244;i244;item
pick_i240;i240;item
ship_o76;o76;order
ship_o76;i240;item
ship_o76;i241;item
ship_o76;i242;item
ship_o76;i243;item
ship_o76;i244;item
place_o77;o77;order
place_o77;i245;item
place_o77;i246;item
place_o77;i247;item
pick_i245;i245;item
pick_i247;i247;item
pick_i246;i246;item
ship_o77;o77;order
ship_o77;i245;item
ship_o77;i246;item
ship_o77;i247;item
place_o78;o78;order
place_o78;i248;item
place_o78;i249;item
place_o78;i250;item
place_o78;i251;item
place_o78;i252;item
pick_i252;i252;item
pick_i250;i250;item
pick_i248;i248;item
pick_i249;i249;item
pick_i251;i251;item
ship_o78;o78;order
ship_o78;i248;item
ship_o78;i249;item
ship_o78;i250;item
ship_o78;i251;item
ship_o78;i252;item
place_o79;o79;order
place_o79;i253;item
place_o79;i254;item
place_o79;i255;item
place_o79;i256;item
pick_i255;i255;item
pick_i254;i254;item
pick_i256;i256;item
place_o80;o80;order
place_o80;i257;item
place_o80;i258;item
place_o80;i259;item
pick_i253;i253;item
ship_o79;o79;order
ship_o79;i253;item
ship_o79;i254;item
ship_o79;i255;item
ship_o79;i256;item
pick_i257;i257;item
pick_i258;i258;item
pick_i259;i259;item
ship_o80;o80;order
ship_o80;i257;item
ship_o80;i258;item
ship_o80;i259;item
place_o81;o81;order
place_o81;i260;item
place_o81;i261;item
pick_i260;i260;item
pick_i261;i261;item
ship_o81;o81;order
ship_o81;i260;item
ship_o81;i261;item
place_o82;o82;order
place_o82;i262;item
place_o82;i263;item
pick_i262;i262;item
pick_i263;i263;item
ship_o82;o82;order
ship_o82;i262;item
ship_o82;i263;item
place_o83;o83;order
place_o83;i264;item
place_o83;i265;item
pick_i265;i265;item
pick_i264;i264;item
ship_o83;o83;order
ship_o83;i264;item
ship_o83;i265;item
place_o84;o84;order
place_o84;i266;item
place_o84;i267;item
place_o84;i268;item
place_o84;i269;item
place_o84;i270;item
pick_i268;i268;item
pick_i267;i267;item
pick_i266;i266;item
pick_i270;i270;item
place_o85;o85;order
place_o85;i271;item
place_o85;i272;item
place_o85;i273;item
pick_i269;i269;item
ship_o84;o84;order
ship_o84;i266;item
ship_o84;i267;item
ship_o84;i268;item
ship_o84;i269;item
ship_o84;i270;item
pick_i272;i272;item
pick_i273;i273;item
pick_i271;i271;item
ship_o85;o85;order
ship_o85;i271;item
ship_o85;i272;item
ship_o85;i273;item
place_o86;o86;order
place_o86;i274;item
place_o86;i275;item
place_o86;i276;item
place_o86;i277;item
place_o86;i278;item
pick_i277;i277;item
pick_i275;i275;item
pick_i278;i278;item
pick_i274;i274;item
pick_i276;i276;item
ship_o86;o86;order
ship_o86;i274;item
ship_o86;i275;item
ship_o86;i276;item
ship_o86;i277;item
ship_o86;i278;item
place_o87;o87;order
place_o87;i279;item
place_o87;i280;item
pick_i280;i280;item
pick_i279;i279;item
ship_o87;o87;order
ship_o87;i279;item
ship_o87;i280;item
place_o88;o88;order
place_o88;i281;item
place_o88;i282;item
place_o88;i283;item
place_o88;i284;item
place_o88;i285;item
pick_i282;i282;item
place_o89;o89;order
place_o89;i286;item
place_o89;i287;item
place_o89;i288;item
place_o89;i289;item
pick_i281;i281;item
pick_i283;i283;item
pick_i285;i285;item
pick_i284;i284;item
ship_o88;o88;order
ship_o88;i281;item
ship_o88;i282;item
ship_o88;i283;item
ship_o88;i284;item
ship_o88;i285;item
pick_i289;i289;item
pick_i286;i286;item
pick_i288;i288;item
pick_i287;i287;item
ship_o89;o89;order
ship_o89;i286;item
ship_o89;i287;item
ship_o89;i288;item
ship_o89;i289;item
place_o90;o90;order
place_o90;i290;item
place_o90;i291;item
place_o90;i292;item
place_o90;i293;item
pick_i292;i292;item
pick_i291;i291;item
pick_i290;i290;item
pick_i293;i293;item
ship_o90;o90;order
ship_o90;i290;item
ship_o90;i291;item
ship_o90;i292;item
ship_o90;i293;item
place_o91;o91;order
place_o91;i294;item
place_o91;i295;item
pick_i294;i294;item
pick_i295;i295;item
ship_o91;o91;order
ship_o91;i294;item
ship_o91;i295;item
place_o92;o92;order
place_o92;i296;item
place_o92;i297;item
place_o92;i298;item
place_o92;i299;item
pick_i299;i299;item
pick_i296;i296;item
pick_i297;i297;item
pick_i298;i298;item
ship_o92;o92;order
ship_o92;i296;item
ship_o92;i297;item
ship_o92;i298;item
ship_o92;i299;item
place_o93;o93;order
place_o93;i300;item
pick_i300;i300;item
ship_o93;o93;order
ship_o93;i300;item
place_o94;o94;order
place_o94;i301;item
place_o94;i302;item
place_o94;i303;item
place_o94;i304;item
pick_i302;i302;item
pick_i303;i303;item
pick_i304;i304;item
pick_i301;i301;item
ship_o94;o94;order
ship_o94;i301;item
ship_o94;i302;item
ship_o94;i303;item
ship_o94;i304;item
place_o95;o95;order
place_o95;i305;item
place_o95;i306;item
place_o95;i307;item
place_o95;i308;item
place_o95;i309;item
place_o95;i310;item
pick_i307;i307;item
pick_i309;i309;item
place_o96;o96;order
place_o96;i311;item
place_o96;i312;item
place_o96;i313;item
place_o96;i314;item
place_o96;i315;item
pick_i305;i305;item
pick_i315;i315;item
pick_i312;i312;item
pick_i311;i311;item
pick_i310;i310;item
pick_i314;i314;item
pick_i308;i308;item
pick_i313;i313;item
ship_o96;o96;order
ship_o96;i311;item
ship_o96;i312;item
ship_o96;i313;item
ship_o96;i314;item
ship_o96;i315;item
pick_i306;i306;item
ship_o95;o95;order
ship_o95;i305;item
ship_o95;i306;item
ship_o95;i307;item
ship_o95;i308;item
ship_o95;i309;item
ship_o95;i310;item
place_o97;o97;order
place_o97;i316;item
place_o97;i317;item
place_o97;i318;item
place_o97;i319;item
place_o97;i320;item
place_o97;i321;item
pick_i319;i319;item
pick_i321;i321;item
pick_i318;i318;item
pick_i320;i320;item
pick_i317;i317;item
pick_i316;i316;item
ship_o97;o97;order
ship_o97;i316;item
ship_o97;i317;item
ship_o97;i318;item
ship_o97;i319;item
ship_o97;i320;item
ship_o97;i321;item
place_o98;o98;order
place_o98;i322;item
place_o98;i323;item
place_o98;i324;item
pick_i323;i323;item
pick_i322;i322;item
pick_i324;i324;item
ship_o98;o98;order
ship_o98;i322;item
ship_o98;i323;item
ship_o98;i324;item
place_o99;o99;order
place_o99;i325;item
place_o99;i326;item
place_o99;i327;item
place_o99;i328;item
place_o99;i329;item
place_o99;i330;item
pick_i329;i329;item
pick_i326;i326;item
pick_i330;i330;item
pick_i327;i327;item
pick_i328;i328;item
pick_i325;i325;item
ship_o99;o99;order
ship_o99;i325;item
ship_o99;i326;item
ship_o99;i327;item
ship_o99;i328;item
ship_o99;i329;item
ship_o99;i330;item
place_o100;o100;order
place_o100;i331;item
place_o100;i332;item
pick_i332;i332;item
pick_i331;i331;item
ship_o100;o100;order
ship_o100;i331;item
ship_o100;i332;item
place_o101;o101;order
place_o101;i333;item
place_o101;i334;item
pick_i334;i334;item
pick_i333;i333;item
ship_o101;o101;order
ship_o101;i333;item
ship_o101;i334;item
place_o102;o102;order
place_o102;i335;item
place_o102;i336;item
place_o102;i337;item
place_o102;i338;item
pick_i336;i336;item
pick_i338;i338;item
pick_i337;i337;item
pick_i335;i335;item
ship_o102;o102;order
ship_o102;i335;item
ship_o102;i336;item
ship_o102;i337;item
ship_o102;i338;item
place_o103;o103;order
place_o103;i339;item
place_o103;i340;item
place_o103;i341;item
place_o103;i342;item
pick_i340;i340;item
pick_i339;i339;item
pick_i341;i341;item
pick_i342;i342;item
ship_o103;o103;order
ship_o103;i339;item
ship_o103;i340;item
ship_o103;i341;item
ship_o103;i342;item
place_o104;o104;order
place_o104;i343;item
place_o104;i344;item
place_o104;i345;item
place_o104;i346;item
place_o104;i347;item
place_o104;i348;item
pick_i347;i347;item
pick_i348;i348;item
pick_i346;i346;item
pick_i343;i343;item
pick_i345;i345;item
pick_i344;i344;item
ship_o104;o104;order
ship_o104;i343;item
ship_o104;i344;item
ship_o104;i345;item
ship_o104;i346;item
ship_o104;i347;item
ship_o104;i348;item
place_o105;o105;order
place_o105;i349;item
place_o105;i350;item
place_o105;i351;item
pick_i351;i351;item
pick_i349;i349;item
pick_i350;i350;item
ship_o105;o105;order
ship_o105;i349;item
ship_o105;i350;item
ship_o105;i351;item
place_o106;o106;order
place_o106;i352;item
place_o106;i353;item
pick_i352;i352;item
pick_i353;i353;item
ship_o106;o106;order
ship_o106;i352;item
ship_o106;i353;item
place_o107;o107;order
place_o107;i354;item
place_o107;i355;item
pick_i354;i354;item
pick_i355;i355;item
ship_o107;o107;order
ship_o107;i354;item
ship_o107;i355;item
place_o108;o108;order
place_o108;i356;item
place_o108;i357;item
place_o108;i358;item
place_o108;i359;item
place_o108;i360;item
pick_i357;i357;item
pick_i358;i358;item
pick_i360;i360;item
pick_i359;i359;item
pick_i356;i356;item
ship_o108;o108;order
ship_o108;i356;item
ship_o108;i357;item
ship_o108;i358;item
ship_o108;i359;item
ship_o108;i360;item
place_o109;o109;order
place_o109;i361;item
place_o109;i362;item
place_o109;i363;item
place_o109;i364;item
place_o109;i365;item
place_o109;i366;item
place_o109;i367;item
pick_i365;i365;item
pick_i367;i367;item
place_o110;o110;order
place_o110;i368;item
place_o110;i369;item
place_o110;i370;item
place_o110;i371;item
